State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
FL,,P,COCAINE HYDROCHLORIDE, 59 , 5 ,2007,1, 400 
IL,,P,COCAINE, 77 , 12 ,2007,1, 400 
OH,,P,COCAINE, 77 , 10 ,2007,1, 400 
MA,,P,COCAINE, 44 , 7 ,2007,1, 400 
NJ,,P,COCAINE, 76 , 13 ,2007,1, 400 
TN,,P,COCAINE HYDROCHLORIDE, 84 , 8 ,2007,1, 400 
TN,,P,COCAINE HYDROCHLORIDE, 75 , 5 ,2007,1, 400 
MA,,P,COCAINE, 70 , 7 ,2007,1, 380 
RI,,P,COCAINE, 50 , 11 ,2007,1, 380 
WV,,P,COCAINE HYDROCHLORIDE, 27 , 7 ,2007,1, 350 
FL,,P,"COCAINE, SALT UNDETERMINED", 14 , 28 ,2007,1, 350 
MD,,P,COCAINE, 20 , 5 ,2007,1, 350 
FL,,P,COCAINE HYDROCHLORIDE, 8 , 11 ,2007,1, 350 
PA,,P,COCAINE, 79 , 2 ,2007,1, 350 
IL,,P,COCAINE, 67 , 11 ,2007,1, 350 
DC,,P,COCAINE, 89 , 6 ,2007,1, 340 
NY,,P,COCAINE, 67 , 5 ,2007,1, 340 
IL,,P,COCAINE, 45 , 8 ,2007,1, 340 
WV,,P,COCAINE HYDROCHLORIDE, 95 , 7 ,2007,1, 330 
LA,,P,COCAINE, 76 , 8 ,2007,1, 310 
LA,,P,COCAINE HYDROCHLORIDE, 49 , 7 ,2007,1, 310 
IN,,P,COCAINE, 37 , 10 ,2007,1, 300 
IN,,P,COCAINE, 55 , 7 ,2007,1, 300 
MA,,P,COCAINE, 69 , 3 ,2007,1, 300 
NY,,P,COCAINE, 66 , 9 ,2007,1, 300 
OH,,P,COCAINE, 76 , 4 ,2007,1, 300 
PA,,P,COCAINE, 91 , 3 ,2007,1, 300 
CT,,P,COCAINE, 76 , 4 ,2007,1, 300 
WV,,P,COCAINE, 47 , 2 ,2007,1, 300 
WV,,P,COCAINE, 85 , 4 ,2007,1, 300 
IL,,P,COCAINE, 93 , 3 ,2007,1, 300 
IA,,P,COCAINE, 72 , 2 ,2007,1, 300 
PA,,P,COCAINE, 71 , 3 ,2007,1, 290 
MA,,P,COCAINE HYDROCHLORIDE, 62 , 5 ,2007,1, 280 
MA,,P,COCAINE, 78 , 1 ,2007,1, 280 
NY,,P,COCAINE, 67 , 7 ,2007,1, 280 
NY,,P,COCAINE, 86 , 5 ,2007,1, 280 
NY,,P,COCAINE, 72 , 5 ,2007,1, 280 
VA,,P,COCAINE, 57 , 4 ,2007,1, 280 
WA,,P,COCAINE, 82 , 10 ,2007,1, 280 
NV,,P,COCAINE, 58 , 12 ,2007,1, 280 
CA,,P,COCAINE HYDROCHLORIDE, 90 , 6 ,2007,1, 260 
FL,,P,COCAINE, 79 , 3 ,2007,1, 260 
CA,,P,COCAINE, 58 , 12 ,2007,1, 250 
VA,,P,COCAINE, 94 , 6 ,2007,1, 250 
NV,,P,COCAINE, 69 , 7 ,2007,1, 250 
FL,,P,COCAINE, 73 , 3 ,2007,1, 250 
IN,,P,COCAINE, 84 , 3 ,2007,1, 250 
PA,,P,COCAINE, 78 , 7 ,2007,1, 250 
NJ,,P,COCAINE, 71 , 7 ,2007,1, 250 
PA,,P,COCAINE, 92 , 6 ,2007,1, 250 
PA,,P,COCAINE HYDROCHLORIDE, 85 , 0 ,2007,1, 250 
FL,,P,COCAINE, 61 , 4 ,2007,1, 240 
PA,,P,COCAINE, 68 , 3 ,2007,1, 210 
CT,,P,COCAINE, 83 , 2 ,2007,1, 200 
PA,,P,COCAINE, 85 , 3 ,2007,1, 200 
PA,,P,COCAINE, 71 , 2 ,2007,1, 200 
PA,,P,COCAINE, 74 , 2 ,2007,1, 200 
FL,,P,COCAINE, 36 , 8 ,2007,1, 200 
NY,,P,COCAINE HYDROCHLORIDE, 76 , 3 ,2007,1, 200 
TX,,P,COCAINE, 51 , 10 ,2007,1, 200 
IN,,P,COCAINE, 51 , 7 ,2007,1, 200 
WI,,P,COCAINE, 87 , 3 ,2007,1, 200 
NJ,,P,COCAINE, 60 , 2 ,2007,1, 200 
WV,,P,COCAINE HYDROCHLORIDE, 30 , 2 ,2007,1, 200 
IN,,P,COCAINE, 73 , 3 ,2007,1, 200 
FL,,P,COCAINE, 76 , 5 ,2007,1, 200 
CA,,P,COCAINE, 65 , 5 ,2007,1, 200 
NJ,,P,COCAINE, 76 , 4 ,2007,1, 200 
FL,,P,COCAINE, 44 , 7 ,2007,1, 200 
FL,,P,COCAINE, 90 , 2 ,2007,1, 200 
,VI,P,COCAINE, 75 , 2 ,2007,1, 200 
FL,,P,COCAINE, 50 , 10 ,2007,1, 200 
,VI,P,COCAINE, 66 , 1 ,2007,1, 200 
,VI,P,COCAINE, 71 , 3 ,2007,1, 200 
IN,,P,COCAINE, 78 , 3 ,2007,1, 200 
IN,,P,COCAINE, 88 , 3 ,2007,1, 200 
UT,,P,COCAINE HYDROCHLORIDE, 54 , 8 ,2007,1, 200 
WV,,P,COCAINE, 82 , 3 ,2007,1, 200 
WV,,P,COCAINE, 53 , 2 ,2007,1, 200 
IL,,P,COCAINE HYDROCHLORIDE, 68 , 7 ,2007,1, 180 
OR,,P,COCAINE, 76 , 6 ,2007,1, 180 
CT,,P,COCAINE HYDROCHLORIDE, 75 , 5 ,2007,1, 180 
